"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","13 Platinum Ct, Pooler, GA 31322","$239,900","4","2","1,938","34 mins","47 mins","2004","HOA fee: $420 annually","$420 annually"
"2","106 Berwick Lakes Blvd, Pooler, GA 31322","$165,000","3","2","1,241","25 mins","43 mins","2000","Has HOA fee: No","0.13 Acres"
"3","329 Mccumber Dr, Allenhurst, GA 31301","$165,000","3","2","1,659","1 hour","16 mins","1995","Property Status: Active","0.50 Acres"
"4","47 Oak Rd NE, Ludowici, GA 31316","$132,000","3","2","1,208",NA,"20 mins","2006","Appliances: Refrigerator, Range/Oven - Elec","0.38 Acres"
"5","1586 Longleaf Ct, Hinesville, GA 31313","$197,500","5","3","2,659","1 hour 1 min","17 mins","2018","Has HOA fee: No","0.20 Acres"
"6","321 Connor Ct, Hinesville, GA 31313","$219,900","4","3","2,610",NA,"11 mins","2011","HOA fee: $65 monthly","$65 monthly"
"7","135 Reese Dr, Richmond Hill, GA 31324","$195,000","3","2","1,455","32 mins","34 mins","2003","Has HOA fee: No","0.26 Acres"
"8","2018 E 50th St, Savannah, GA 31404","$190,900","3","2","1,231",NA,"59 mins","1930","Has HOA fee: No","0.12 Acres"
"9","2614 13th St, Garden City, GA 31408","$179,900","4","1","1,566","26 mins","50 mins","1950","Has HOA fee: No","0.66 Acres"
"10","103 Tanzania Trl, Pooler, GA 31322","$239,900","3","2","1,640","41 mins","53 mins","2018","HOA fee: $480 annually","$480 annually"
"11","213 Laurelwood Dr, Savannah, GA 31419","$179,900","4","2","1,444","22 mins","40 mins","1996","Has HOA fee: No","0.22 Acres"
"12","29 Pine Dr, Savannah, GA 31405","$174,900","3","2","1,768",NA,"48 mins","1951","Has HOA fee: No","0.42 Acres"
"13","569 Briar Cir, Hinesville, GA 31313","$130,000","3","2","1,412","53 mins","9 mins","1975","Property Status: Active","0.30 Acres"
"14","613 Stonebridge Cir, Savannah, GA 31419","$250,000","4","3","2,126","25 mins","43 mins","2007","HOA fee: $840 annually","$840 annually"
"15","303 E Main St, Bloomingdale, GA 31302","$170,000","3","2","1,812","35 mins","49 mins","1970","Has HOA fee: No","0.51 Acres"
"16","291 Shady Oak Cir, Richmond Hill, GA 31324","$219,900","3","2","1,428","30 mins","32 mins","2001","HOA fee: $270 annually","$270 annually"
"17","12 Mulberry Ct, Savannah, GA 31406","$199,000","3","2","1,287",NA,"56 mins","1983","Has HOA fee: No","0.21 Acres"
"18","215 Chapel Lk S, Savannah, GA 31419","$239,900","4","2","1,686","26 mins","44 mins","2005","HOA fee: $180 quarterly","$180 quarterly"
"19","404 Valdez Ct, Hinesville, GA 31313","$212,900","3","3","2,100",NA,"11 mins","2011","Exterior: Vinyl Siding","5,662 sqft"
"20","468 Laurel Hill Cir, Richmond Hill, GA 31324","$229,900","4","2","1,619","30 mins","32 mins","2001","HOA fee: $315 annually","$315 annually"
"21","29 Bristlecone Dr, Savannah, GA 31419","$242,900","4","2","1,598","20 mins","44 mins","1997","HOA fee: $39 monthly","$39 monthly"
"22","227 River Oak Dr, Bloomingdale, GA 31302","$129,500","3","2","1,680","34 mins","46 mins","2016","Has HOA fee: No","33,105 sqft"
"23","306 Camden Ct, Hinesville, GA 31313","$245,500","4","3","2,455",NA,"16 mins","2004","Has HOA fee: No","0.36 Acres"
"24","8 Pillar Ct, Savannah, GA 31406","$249,500","4","2","1,869",NA,"53 mins","1998","Has HOA fee: No","0.26 Acres"
"25","137 Columbus Dr, Savannah, GA 31405","$249,900","3","2","1,880",NA,"52 mins","1950","Has HOA fee: No","0.15 Acres"
"26","28 Carolina Ash Ct, Midway, GA 31320","$184,900","3","2","1,425","44 mins","20 mins","2004","Property Status: Active","0.36 Acres"
"27","208 Reese Dr, Richmond Hill, GA 31324","$204,500","4","2","1,479","32 mins","35 mins","2002","Has HOA fee: No","0.42 Acres"
"28","73 Tideland Dr, Midway, GA 31320","$190,000","3","1","1,634","51 mins","37 mins","1964","Has HOA fee: No","32,234 sqft"
"29","104 Smith Ave, Garden City, GA 31408","$120,000","2","2","865","28 mins","55 mins","1934","Has HOA fee: No","0.25 Acres"
"30","120 Wimbledon Dr, Savannah, GA 31419","$210,000","3","2","1,236","19 mins","43 mins","2002","HOA fee: $467 annually","$467 annually"
"31","228 Deerfield Rd W, Bloomingdale, GA 31302","$174,900","3","2","1,670","42 mins","55 mins","1977","Has HOA fee: No","0.35 Acres"
"32","Buildable plan: Christi, The Crossing at Independence, Hinesville, GA 31313","from ","3","2","1,287",NA,NA,"2021",NA,"No Data"
"33","2020 Weybridge Ct, Hinesville, GA 31313","$189,900","4","2","1,908","1 hour 3 mins","17 mins","1996","Appliances: Refrigerator, Dishwasher, Range/Oven - Elec, Microwave/Range-Hood","No Data"
"34","1718 E 60th St, Savannah, GA 31404","$90,000","3","1","1,092",NA,"56 mins","1959","Has HOA fee: No","0.15 Acres"
"35","2500 Sims Rd, Pembroke, GA 31321","$250,000","4","2","1,930","52 mins","32 mins","2006","Services included: None","47,044 sqft"
"36","121 Smith Ave, Garden City, GA 31408","$205,000","3","2","1,761","27 mins","55 mins","1928","Has HOA fee: No","0.32 Acres"
"37","7342 Garfield St, Savannah, GA 31406","$197,900","3","2","1,290",NA,"55 mins","1989","Has HOA fee: No","0.12 Acres"
"38","198 Chapel Lk S, Savannah, GA 31419","$210,000","3","2","1,343","26 mins","44 mins","2006","HOA fee: $180 quarterly","$180 quarterly"
"39","141 Meadowside Ln, Savannah, GA 31405","$235,000","4","3","1,802","26 mins","44 mins","2006","HOA fee: $600 annually","$600 annually"
"40","114 Cutt Off Way, Richmond Hill, GA 31324","$194,900","3","2","1,730","32 mins","35 mins","1994","Has HOA fee: No","0.26 Acres"
"41","Buildable plan: Naomi, The Columns at Independence North, Hinesville, GA 31313","from ","3","3","1,666",NA,NA,"2021",NA,"$25 monthly"
"42","2344 Ranchland Dr, Savannah, GA 31404","$179,900","4","3","2,056",NA,"57 mins","1955","Has HOA fee: No","0.26 Acres"
"43","12511 Woodley Rd, Savannah, GA 31419","$79,000","3","2","1,500","19 mins","49 mins","1958","Has HOA fee: No","0.29 Acres"
"44","373 S Main St, Pembroke, GA 31321","$45,000","2","1","1,498","49 mins","27 mins","1945","Services included: None","10,018 sqft"
"45","212 Conaway Rd, Bloomingdale, GA 31302","$149,000","3","2","1,596","37 mins","49 mins","1954","Has HOA fee: No","2.47 Acres"
"46","9 Cross Bow Ct, Savannah, GA 31406","$226,900","4","2","1,322",NA,"56 mins","1980","Has HOA fee: No","0.27 Acres"
"47","814 Huntington Way, Hinesville, GA 31313","$230,000","8","4","--","53 mins","7 mins","1994","Services included: None","7,056 sqft"
"48","6 Fontenot Ct, Savannah, GA 31405","$182,900","3","2","1,503","24 mins","42 mins","2004","Services included: None","6,098 sqft"
"49","121 Sheila Dr, Hinesville, GA 31313","$119,900","3","2","1,104","1 hour 1 min","17 mins","1996","Appliances: Refrigerator, Dishwasher, Range/Oven - Elec","No Data"
"50","123 Fontenot Dr, Savannah, GA 31405","$225,000","4","2","1,720","25 mins","43 mins","2008","Has HOA fee: No","0.25 Acres"
"51","1323 W Oglethorpe Hwy, Hinesville, GA 31313","$99,000","3","1","960","57 mins","13 mins","1957","Has HOA fee: No","0.77 Acres"
"52","6 Seneca Rd, Savannah, GA 31406","$139,900","2","1","1,548",NA,"50 mins","1985","Has HOA fee: No","0.20 Acres"
"53","Buildable plan: Kohen, Griffin Park, Hinesville, GA 31313","from ","5","3","2,416",NA,NA,"2021",NA,"$25 monthly"
"54","68 Retriever Way, Allenhurst, GA 31301","$126,000","3","2","1,343","1 hour","17 mins","1995","Dining: Dining/Kitchen Combo","No Data"
"55","212 Port Royal Dr, Savannah, GA 31410","$239,900","3","2","1,319",NA,"1 hour 9 mins","1974","Has HOA fee: No","0.14 Acres"
"56","102 Berwick Lakes Blvd, Pooler, GA 31322","$179,900","8","2","--","25 mins","43 mins","2000","Services included: Other (See Remarks)","9,147 sqft"
"57","3701 Eastgate Dr, Savannah, GA 31404","$149,000","3","1","1,152",NA,"58 mins","1955","Has HOA fee: No","0.19 Acres"
"58","1103 Kelly Dr, Hinesville, GA 31313","$155,000","3","2","1,600","1 hour","14 mins","1977","Has HOA fee: No","0.34 Acres"
"59","13 Cambridge Ct, Savannah, GA 31419","$190,000","3","2","1,342","19 mins","43 mins","1983","HOA fee: $467 annually","$467 annually"
"60","Buildable plan: Pamona, The Estates at Wilder Pond, Allenhurst, GA 31301","from ","4","3","1,609",NA,NA,"2021",NA,"$25 monthly"
"61","Buildable plan: Caitlin, Flemington Village, Hinesville, GA 31313","from ","3","2","1,505",NA,NA,"2021",NA,"No Data"
"62","715 Dyches Dr, Savannah, GA 31406","$200,000","4","2","1,758",NA,"51 mins","1969","Has HOA fee: No","0.25 Acres"
"63","36 Waterstone Cir, Savannah, GA 31405","$239,500","3","3","1,780","27 mins","45 mins","2007","HOA fee: $315 annually","$315 annually"
"64","214 Arbor Ridge Way, Midway, GA 31320","$215,000","4","2","2,182","46 mins","21 mins","2004","Property Status: Active","0.31 Acres"
"65","1452 E 42nd St, Savannah, GA 31404","$189,900","2","1","1,300",NA,"58 mins","1960","Tax assessed value: $109,200","0.19 Acres"
"66","636 Kline St, Savannah, GA 31415","$125,000","3","2","1,232","22 mins","50 mins","1890","Has HOA fee: No","0.07 Acres"
"67","109 Phillips Ave, Savannah, GA 31407","$160,000","3","2","1,093","34 mins","57 mins","1966","Has HOA fee: No","0.38 Acres"
"68","2411 Bolling St, Savannah, GA 31404","$129,900","3","2","968",NA,"1 hour 1 min","2000","Has HOA fee: No","0.15 Acres"
"69","284 Clubhouse Dr, Midway, GA 31320","$199,900","3","3","1,693","42 mins","29 mins","1978","HOA fee: $295 annually","$295 annually"
"70","905 Granger Dr, Hinesville, GA 31313","$125,000","3","2","1,280",NA,"12 mins","1994","Appliances: Refrigerator, Dishwasher, Range/Oven - Elec, Range Hood","No Data"
"71","300 W Court St, Hinesville, GA 31313","$111,000","3","2","1,323","53 mins","6 mins","1940","Has HOA fee: No","0.80 Acres"
"72","Buildable plan: Hazel, Griffin Park, Hinesville, GA 31313","from ","4","2","1,682",NA,NA,"2021",NA,"$25 monthly"
"73","178 Olvey Rd, Hinesville, GA 31313","$159,000","3","3","1,857","50 mins","8 mins","1970","Lot Description: Wooded, Level, Landscaped, Acreage 1-5","1.55 Acres"
"74","244 Bender St, Hinesville, GA 31313","$205,000","4","3","2,174",NA,"11 mins","2016","HOA fee: $780 annually","$780 annually"
"75","1005 Wolf St, Savannah, GA 31401","$225,000","3","2","1,116",NA,"57 mins","1900","Has HOA fee: No","0.13 Acres"
"76","17 Sherwood Rd, Savannah, GA 31406","$175,000","3","1","1,527",NA,"53 mins","1969","Has HOA fee: No","0.35 Acres"
"77","106 N Chestnut St, Pooler, GA 31322","$236,900","3","3","1,820","32 mins","44 mins","1958","Has HOA fee: No","0.47 Acres"
"78","Buildable plan: Palmer, The Estates at Wilder Pond, Allenhurst, GA 31301","from ","3","2","1,523",NA,NA,"2021",NA,"$25 monthly"
"79","173 Manchester Ct, Midway, GA 31320","$207,900","4","2","1,936","41 mins","28 mins","2009","HOA fee: $300 annually","$300 annually"
"80","206 Ash St, Bloomingdale, GA 31302","$110,000","3","1","1,092","36 mins","49 mins","1965","Has HOA fee: No","0.48 Acres"
"81","Buildable plan: Davis, The Estates at Wilder Pond, Allenhurst, GA 31301","from ","4","3","1,905",NA,NA,"2021",NA,"$25 monthly"
"82","43 Leeward Dr, Savannah, GA 31419","$189,900","3","2","1,016","20 mins","44 mins","1998","HOA fee: $467 annually","$467 annually"
"83","939 Highland Dr, Hinesville, GA 31313","$124,900","3","2","1,524",NA,"10 mins","1994","Appliances: Refrigerator, Dishwasher, Range/Oven - Elec, Range Hood","No Data"
"84","1043 Bacon Rd, Hinesville, GA 31313","$165,000","3","2","1,177","57 mins","11 mins","1985","Has HOA fee: No","0.28 Acres"
"85","1216 E 35th St, Savannah, GA 31404","$217,000","4","2","2,405",NA,"56 mins","1951","Has HOA fee: No","0.12 Acres"
