"","address","list_price","bed","bathroom","sq_footage","hunter_mins","stewart_mins","num_acres","HOA_price","price_value","bed_value","bathroom_value","footage_value","hunter_time_value","stewart_time_value","acres_value","HOA_value","value","latitude","longitude","price_category","value_category","value_per_dollar"
"1","13 Platinum Ct, Pooler, GA 31322",239900,4,2,1938,34,47,NA,420,0.100200400801603,0.75,0.5,0.907063197026022,0.46031746031746,0.534246575342466,NA,0.147058823529412,0.526430143055148,32.086021,-81.254494,"high","med",0.000219437325158461
"2","106 Berwick Lakes Blvd, Pooler, GA 31322",165000,3,2,1241,25,43,0.13,0,0.888888888888889,0.5,0.5,0.139275766016713,0.603174603174603,0.657534246575342,0.106382978723404,0.928571428571429,0.558663886049753,32.054699,-81.266693,"med","med",0.000338584173363487
"3","329 Mccumber Dr, Allenhurst, GA 31301",165000,3,2,1659,NA,16,0.5,NA,0.888888888888889,0.5,0.5,0.806949806949807,NA,NA,0.5,NA,0.576737451737452,31.77609,-81.6122,"med","med",0.00034953784953785
"4","47 Oak Rd NE, Ludowici, GA 31316",132000,3,2,1208,NA,20,0.38,NA,0.935897435897436,0.5,0.5,0.127551020408163,NA,NA,0.227272727272727,NA,0.372796846011132,31.78906,-81.64953,"low","low",0.000282421853038736
"5","1586 Longleaf Ct, Hinesville, GA 31313",197500,5,3,2659,NA,17,0.2,0,0.6,0.833333333333333,0.75,0.960285941223193,NA,NA,0.125,0.928571428571429,0.802844197105516,31.8068,-81.61582,"med","high",0.000406503390939502
"6","321 Connor Ct, Hinesville, GA 31313",219900,4,3,2610,NA,11,NA,780,0.167224080267559,0.75,0.75,0.958677685950413,NA,NA,NA,0.0471698113207547,0.580886480586309,31.85368,-81.65265,"high","high",0.000264159381803688
"7","135 Reese Dr, Richmond Hill, GA 31324",195000,3,2,1455,32,34,0.26,0,0.666666666666667,0.5,0.5,0.344827586206897,0.492063492063492,0.561643835616438,0.147058823529412,0.928571428571429,0.543089653153376,31.9199,-81.31561,"med","med",0.000278507514437629
"8","2018 E 50th St, Savannah, GA 31404",190900,3,2,1231,NA,59,0.12,0,0.738219895287958,0.5,0.5,0.13550135501355,NA,NA,0.104166666666667,0.928571428571429,0.514625787491641,32.03679,-81.06775,"med","med",0.000269578725768277
"9","2614 13th St, Garden City, GA 31408",179900,4,1,1566,26,50,0.66,0,0.833887043189369,0.75,0.25,0.698795180722892,0.587301587301587,0.643835616438356,0.807692307692308,0.928571428571429,0.667872786298544,32.09318,-81.17801,"med","high",0.000371246684990853
"10","103 Tanzania Trl, Pooler, GA 31322",239900,3,2,1640,41,53,NA,480,0.100200400801603,0.5,0.5,0.791666666666667,0.349206349206349,0.438356164383562,NA,0.108695652173913,0.418900834107715,32.15418,-81.27521,"high","low",0.000174614770365867
"11","213 Laurelwood Dr, Savannah, GA 31419",179900,4,2,1444,22,40,0.22,0,0.833887043189369,0.75,0.5,0.32051282051282,0.650793650793651,0.698630136986301,0.131578947368421,0.928571428571429,0.639299104902325,32.02608,-81.24558,"med","high",0.000355363593608852
"12","29 Pine Dr, Savannah, GA 31405",174900,3,2,1768,NA,48,0.42,0,0.857549857549858,0.5,0.5,0.864130434782609,NA,NA,0.277777777777778,0.928571428571429,0.662886630277935,32.0482,-81.15186,"med","high",0.000379008936694074
"13","569 Briar Cir, Hinesville, GA 31313",130000,3,2,1412,53,9,0.3,NA,0.9375,0.5,0.5,0.265957446808511,0.158730158730159,0.273972602739726,0.166666666666667,NA,0.310361333561567,31.83425,-81.59543,"low","low",0.000238739487355052
"14","613 Stonebridge Cir, Savannah, GA 31419",250000,4,3,2126,25,43,NA,840,0.0833333333333333,0.75,0.75,0.931129476584022,0.603174603174603,0.657534246575342,NA,0.0423728813559322,0.595569338215311,32.04063,-81.23008,"high","high",0.000238227735286124
"15","303 E Main St, Bloomingdale, GA 31302",170000,3,2,1812,35,49,0.51,0,0.875,0.5,0.5,0.878640776699029,0.444444444444444,0.52054794520548,0.545454545454546,0.928571428571429,0.607103999886728,32.12737,-81.29755,"med","high",0.000357119999933369
"16","291 Shady Oak Cir, Richmond Hill, GA 31324",219900,3,2,1428,30,32,NA,270,0.167224080267559,0.5,0.5,0.290697674418605,0.523809523809524,0.589041095890411,NA,0.6875,0.529779807749796,31.93087,-81.31847,"high","med",0.000240918511937151
"17","12 Mulberry Ct, Savannah, GA 31406",199000,3,2,1287,NA,56,0.21,0,0.545454545454545,0.5,0.5,0.159744408945687,NA,NA,0.128205128205128,0.928571428571429,0.521218930164617,31.99673,-81.0635,"med","med",0.00026191906038423
"18","215 Chapel Lk S, Savannah, GA 31419",239900,4,2,1686,26,44,NA,720,0.100200400801603,0.75,0.5,0.825174825174825,0.587301587301587,0.643835616438356,NA,0.0531914893617021,0.549449253938598,32.04365,-81.23834,"high","med",0.000229032619399165
"19","404 Valdez Ct, Hinesville, GA 31313",212900,3,3,2100,NA,11,NA,NA,0.218340611353712,0.5,0.75,0.928571428571429,NA,NA,NA,NA,0.693877551020408,31.85244,-81.6524,"high","high",0.00032591712119324
